overhang=3 fmax=1 | h: len=24 eps=-1 dl=0 k=-1 lo=-3 a=[4, 2, -3] | h*: len=22 lo=-1 a=[-1, -2, 2, 4] | f: lo=-3 [-1, -1, 1, 1]
overhang=3 fmax=1 | h: len=22 eps=-1 dl=0 k=-1 lo=-1 a=[3, -2, -4] | h*: len=20 lo=-4 a=[-4, -2, 2, 1] | f: lo=-4 [-1, -1, 1, 1]
overhang=2 fmax=1 | h: len=20 eps=-1 dl=0 k=-1 lo=-2 a=[-4, -3] | h*: len=18 lo=-1 a=[-1, 2, 4] | f: lo=-2 [1, 1]
overhang=4 fmax=2 | h: len=28 eps=-1 dl=0 k=-1 lo=-2 a=[-8, -1] | h*: len=26 lo=-1 a=[-1, 2, 2, -2, -4] | f: lo=-2 [2, 1, -1, -1]
overhang=3 fmax=1 | h: len=26 eps=-1 dl=0 k=0 lo=-2 a=[4, 2, -4] | h*: len=24 lo=0 a=[-2, -2, 2, 4] | f: lo=-2 [-1, -1, 1, 1]
overhang=4 fmax=2 | h: len=28 eps=-1 dl=0 k=0 lo=-2 a=[8] | h*: len=24 lo=0 a=[-2, -2, 2, 4] | f: lo=-2 [-2, -1, 1, 1]
overhang=3 fmax=1 | h: len=22 eps=-1 dl=0 k=0 lo=-3 a=[4, 2, -2] | h*: len=20 lo=0 a=[-2, 2, 4] | f: lo=-3 [-1, -1, 1, 1]
overhang=2 fmax=1 | h: len=16 eps=-1 dl=0 k=0 lo=0 a=[-2, -4] | h*: len=14 lo=-2 a=[4, 2] | f: lo=-2 [1, 1]
overhang=3 fmax=1 | h: len=24 eps=-1 dl=0 k=0 lo=-1 a=[4, -2, -4] | h*: len=22 lo=-4 a=[-4, -2, 2, 2] | f: lo=-4 [-1, -1, 1, 1]
overhang=2 fmax=1 | h: len=18 eps=-1 dl=0 k=0 lo=-2 a=[-4, -2] | h*: len=16 lo=0 a=[2, 4] | f: lo=-2 [1, 1]
overhang=1 fmax=1 | h: len=14 eps=-1 dl=0 k=0 lo=-2 a=[-4, 2] | h*: len=12 lo=0 a=[4] | f: lo=-2 [1]
overhang=2 fmax=1 | h: len=20 eps=-1 dl=0 k=0 lo=-1 a=[4, 4] | h*: len=18 lo=-3 a=[-4, -2, 2] | f: lo=-3 [-1, -1]
overhang=3 fmax=1 | h: len=20 eps=-1 dl=0 k=0 lo=0 a=[2, -2, -4] | h*: len=18 lo=-3 a=[-4, -2, 2] | f: lo=-3 [-1, -1, 1, 1]
overhang=3 fmax=1 | h: len=26 eps=-1 dl=0 k=0 lo=0 a=[6, -4] | h*: len=18 lo=-3 a=[-4, -2, 2] | f: lo=-3 [-1, -1, 1]
overhang=0 fmax=1 | h: len=31 eps=-1 dl=1 k=-12 lo=-12 a=[3, -1, 1, -1, 1, 1, -1, -1, -1, 1, 1, 1] | h*: len=29 lo=-12 a=[-1, 1, -3, -1, 1, 1, -1, -1, -1, 1, 1, 1] | f: lo=-12 [-1]
overhang=0 fmax=1 | h: len=31 eps=-1 dl=1 k=-12 lo=-12 a=[3, -1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1] | h*: len=29 lo=-12 a=[-1, 1, -3, -1, 1, 1, 1, -1, -1, 1, 1, 1] | f: lo=-12 [-1]
overhang=0 fmax=1 | h: len=29 eps=-1 dl=1 k=-11 lo=-11 a=[-1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=27 lo=-11 a=[-1, -1, -1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
