m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits,r25_hp,sinw_hp,tau_hp
84,2.838033497180930938e-5,0.250005321422,0.750008868880,3.7140685598,0.2579354040,0.9999999781,880,2.5793540403229284702781618215429433186781279e-1,9.9999997810235792774030351068300027367110415e-1,2.8380334971809308939876531721815147076032328e-5
85,2.772034873672539577e-5,0.250005197669,0.750008662633,3.7140657427,-0.2579354121,0.9999999786,885,-2.5793541205591000280562904053229161270958402e-1,9.9999997861157141965502145809323618458938592e-1,2.7720348736725396870434278765634428653446315e-5
86,2.708311967376339992e-5,0.250005078184,0.750008463498,3.7140630227,0.2579354198,0.9999999791,891,2.5793541980288309411900678521229389669832743e-1,9.9999997910322736178603222324008756560918139e-1,2.7083119673763398834577182048834901344896238e-5
87,2.646761342039845663e-5,0.250004962772,0.750008271151,3.7140603954,-0.2579354273,0.9999999796,896,-2.5793542728578504253814175160005309988326913e-1,9.9999997957812373878909364086944586110440356e-1,2.6467613420398457934127381637498168126298567e-5
88,2.587285372075528902e-5,0.250004851251,0.750008085288,3.7140578567,0.2579354345,0.9999999800,901,2.5793543451648254557580894578471307112434575e-1,9.9999998003701371040695932590384385470912210e-1,2.5872853720755290645807809692822182184720280e-5
89,2.529791855210720815e-5,0.250004743446,0.750007905620,3.7140554027,-0.2579354415,0.9999999805,907,-2.5793544150618314912702435807520457964477120e-1,9.9999998048060859936210843327091591745795657e-1,2.5297918552107206935400270532454479693175082e-5
90,2.474193654931291402e-5,0.250004639196,0.750007731874,3.7140530295,0.2579354483,0.9999999809,912,2.5793544826547869974394664745315094216141211e-1,9.9999998090958064944916311381561758868541370e-1,2.4741936549312913051386295897856973694381203e-5
91,2.420408370128575770e-5,0.250004538345,0.750007563794,3.7140507337,-0.2579354548,0.9999999813,917,-2.5793545480438549146675311274452946710626277e-1,9.9999998132456557380601269982256404147415562e-1,2.4204083701285756671458112660564940404055187e-5
92,2.368358029609679915e-5,0.250004440747,0.750007401136,3.7140485120,0.2579354611,0.9999999817,923,2.5793546113238139148243497294378432481009572e-1,9.9999998172616491140959276988104411350974044e-1,2.3683580296096799959073749377476388845742916e-5
93,2.317968809355318798e-5,0.250004346264,0.750007243669,3.7140463612,-0.2579354673,0.9999999821,928,-2.5793546725844020167297595578368154828559168e-1,9.9999998211494820811479815114833019338248303e-1,2.3179688093553186928060089460528789040876768e-5
94,2.269170770609757877e-5,0.250004254765,0.750007091175,3.7140442782,0.2579354732,0.9999999825,933,2.5793547319106348876735570496122494703288874e-1,9.9999998249145503700934056904168753001645196e-1,2.2691707706097578529597559424497461901820422e-5
95,2.221897617066997591e-5,0.250004166125,0.750006943445,3.7140422604,-0.2579354789,0.9999999829,939,-2.5793547893831009400024965880447507461695198e-1,9.9999998285619687147266740296950725249532349e-1,2.2218976170669974846441994496558271211730496e-5
96,2.176086469578370012e-5,0.250004080226,0.750006800285,3.7140403050,0.2579354845,0.9999999832,944,2.5793548450782351361673895272506690040682520e-1,9.9999998320965882308508707880715101415344359e-1,2.1760864695783700087654184283396039282018860e-5
97,2.131677656951346439e-5,0.250003996957,0.750006661507,3.7140384095,-0.2579354899,0.9999999836,949,-2.5793548990685732399454246572682500965163641e-1,9.9999998355230125541798251471318858038638984e-1,2.1316776569513465903262205455184825047279408e-5
98,2.088614521539350867e-5,0.250003916211,0.750006526934,3.7140365714,0.2579354951,0.9999999839,955,2.5793549514229880936155024731741799656263250e-1,9.9999998388456128373336117522194361854424755e-1,2.0886145215393507384035470604677365451150635e-5
99,2.046843238439386792e-5,0.250003837888,0.750006396398,3.7140347884,-0.2579355002,0.9999999842,960,-2.5793550022069093587167966434291518309141801e-1,9.9999998420685416971860180467248781241029783e-1,2.0468432384393869059868503497617867766688500e-5
100,2.006312647219716017e-5,0.250003761891,0.750006269740,3.7140330584,0.2579355051,0.9999999845,965,2.5793550514825280299437172761225230748300721e-1,9.9999998451957461956919831321669538344330708e-1,2.0063126472197161827387277213590341251066193e-5
101,1.966974095194900799e-5,0.250003688129,0.750006146806,3.7140313793,-0.2579355099,0.9999999848,971,-2.5793550993089869162069437232059303548913026e-1,9.9999998482309799299893898284049839181617106e-1,1.9669740951949007287274095145164196892491831e-5
102,1.928781291351396938e-5,0.250003616515,0.750006027453,3.7140297491,0.2579355146,0.9999999851,976,2.5793551457425581785799002327231584635049477e-1,9.9999998511778143009478444252690752541890960e-1,1.9287812913513969576368218538357099638663417e-5
103,1.891690170104481082e-5,0.250003546968,0.750005911543,3.7140281659,-0.2579355191,0.9999999854,981,-2.5793551908368089205672555258683722955417362e-1,9.9999998540396490233519271128981742294049380e-1,1.8916901701044809291437128944529666490403175e-5
104,1.855658764137502710e-5,0.250003479407,0.750005798944,3.7140266279,0.2579355235,0.9999999857,987,2.5793552346427557408264999302442950198911124e-1,9.9999998568197219354911617550089532963360739e-1,1.8556587641375026729782261083383673556100146e-5
105,1.820647085638055945e-5,0.250003413758,0.750005689533,3.7140251335,-0.2579355277,0.9999999860,992,-2.5793552772090090812140166698103832490383222e-1,9.9999998595211181610245050299017635921856761e-1,1.8206470856380560791982409367672046541457581e-5
106,1.786617015303298492e-5,0.250003349950,0.750005583188,3.7140236809,0.2579355319,0.9999999862,997,2.5793553185819081329863687514776852740424356e-1,9.9999998621467786715409907810348375047456123e-1,1.7866170153032983957200350218576604443639525e-5
107,1.753532198538963524e-5,0.250003287915,0.750005479798,3.7140222687,-0.2579355359,0.9999999865,1003,-2.5793553588056470004306806046659646699341606e-1,9.9999998646995082942036168133715808227332506e-1,1.7535321985389634781008000094081356490495361e-5
108,1.721357948324124434e-5,0.250003227586,0.750005379253,3.7140208954,0.2579355398,0.9999999867,1008,2.5793553979223927634708220454542400514378944e-1,9.9999998671819832051990963533459971688893493e-1,1.7213579483241243192023328634087346478996210e-5
109,1.690061154256952819e-5,0.250003168903,0.750005281450,3.7140195596,-0.2579355436,0.9999999870,1013,-2.5793554359723960283157667359070719073293458e-1,9.9999998695967579463847128928968007559237629e-1,1.6900611542569528799202219704902432911403995e-5
110,1.659610197336026902e-5,0.250003111806,0.750005186290,3.7140182598,0.2579355473,0.9999999872,1019,2.5793554729940945074631574037013958275756515e-1,9.9999998719462719994922125918002271303941741e-1,1.6596101973360268097317731618942869546797460e-5
111,1.629974870067525301e-5,0.250003056239,0.750005093680,3.7140169949,-0.2579355509,0.9999999874,1024,-2.5793555090242101268806089204071826216957554e-1,9.9999998742328559494879756065565908210554856e-1,1.6299748700675254013017073193310121643344034e-5
112,1.601126301521282603e-5,0.250003002147,0.750005003528,3.7140157635,0.2579355544,0.9999999876,1029,2.5793555440978401185447405905164672257829333e-1,9.9999998764587372661722881506861436478031325e-1,1.6011263015212826056972530788590185320727977e-5
113,1.573036886988428697e-5,0.250002949478,0.750004915748,3.7140145645,-0.2579355578,0.9999999879,1035,-2.5793555782485425203521346115951228822500081e-1,9.9999998786260457308048242693741045837507669e-1,1.5730368869884287343724849984297364304591298e-5
114,1.545680221920528233e-5,0.250002898183,0.750004830258,3.7140133969,0.2579355612,0.9999999881,1040,2.5793556115084164723948794016063339186244721e-1,9.9999998807368185324473324276105467112001169e-1,1.5456802219205282963869926699300430129904230e-5
115,1.519031039854954723e-5,0.250002848214,0.750004746979,3.7140122594,-0.2579355644,0.9999999883,1045,-2.5793556439081776684179729295567766436626487e-1,9.9999998827930050567990824654355517102903748e-1,1.5190310398549546576729638922763684051669878e-5
116,1.493065154053953036e-5,0.250002799527,0.750004665836,3.7140111511,0.2579355675,0.9999999885,1051,2.5793556754772292936790987455848026943397463e-1,9.9999998847964713885488793348913589284806417e-1,1.4930651540539530903621935439599034649467812e-5
117,1.467759402605630060e-5,0.250002752078,0.750004586755,3.7140100709,-0.2579355706,0.9999999887,1056,-2.5793557062437287551728134777126377240564238e-1,9.9999998867490045466641342718422203165930222e-1,1.4677594026056301368431468321538171365679457e-5
118,1.443091596754146854e-5,0.250002705825,0.750004509668,3.7140090180,0.2579355736,0.9999999889,1061,2.5793557362346504870448966535962552758015530e-1,9.9999998886523164705688829246601450915599691e-1,1.4430915967541469299794284685235984920351191e-5
119,1.419040472243847305e-5,0.250002660728,0.750004434508,3.7140079914,-0.2579355765,0.9999999891,1067,-2.5793557654758450928140151015776532450339289e-1,9.9999998905080477738164063759963405839685338e-1,1.4190404722438472853082322053189745034827080e-5
